-5,-1
-4.9,-0.7922427354
-4.8,-0.6984120008
-4.7,-0.6275982366
-4.6,-0.584893258
-4.5,-0.546669069
-4.4,-0.4769061459
-4.3,-0.4132512777
-4.2,-0.3652782412
-4.1,-0.2860575947
-4,-0.2133425275
-3.9,-0.1610863521
-3.8,-0.0814360357
-3.7,-0.0140327588
-3.6,0.0473556948
-3.5,0.1429809779
-3.4,0.1972759014
-3.3,0.2759088482
-3.2,0.3164241942
-3.1,0.4194026904
-3,0.4577593086
-2.9,0.4914354401
-2.8,0.5559158588
-2.7,0.6134088819
-2.6,0.6543724805
-2.5,0.7031014139
-2.4,0.7787690312
-2.3,0.8061430547
-2.2,0.843987238
-2.1,0.8672833691
-2,0.9041137671
-1.9,0.9481032774
-1.8,0.9481255272
-1.7,0.9972544968
-1.6,1.0448715834
-1.5,1.1087788493
-1.4,1.2128251656
-1.3,1.311596543
-1.2,1.4513876755
-1.1,1.528284533
-1,1.6311825446
-0.899999999999999,1.7163598105
-0.799999999999997,1.7719892653
-0.699999999999999,1.8228123648
-0.599999999999998,1.8883807225
-0.5,1.9151484449
-0.399999999999999,1.961478949
-0.299999999999997,2.0227716256
-0.199999999999999,2.1234311077
-0.0999999999999979,2.2042594773
0,2.2560855345
0.100000000000001,2.3447961935
0.200000000000003,2.4277256708
0.300000000000001,2.5027681064
0.400000000000002,2.6021662992
0.5,2.6910976134
0.600000000000001,2.8051041952
0.700000000000003,2.9094540996
0.800000000000001,3.0449540108
0.900000000000002,3.2091353363
1,3.3709536775
1.1,3.564632054
1.2,3.7676234752
1.3,3.9445737871
1.4,4.1976052255
1.5,4.3325038442
1.6,4.5259132954
1.7,4.7184755228
1.8,4.8908056635
1.9,5.0043252811
2,5.1404511013
2.1,5.2821992009
2.2,5.3974639715
2.3,5.564504392
2.4,5.730589206
2.5,5.9374708525
2.6,6.1751000983
2.7,6.4609679262
2.8,6.7364362386
2.9,7.0021111133
3,7.2712753513
3.1,7.6156870027
3.2,7.8355082992
3.3,8.0829243299
3.4,8.295375983
3.5,8.4503708462
3.6,8.5779790915
3.7,8.6664332902
3.8,8.7205756058
3.9,8.7756427026
4,8.7384040322
4.1,8.6831675402
4.2,8.6044827735
4.3,8.5141904222
4.4,8.3672062318
4.5,8.2351374717
4.6,8.1117500498
4.7,8.0318173228
